no,name,place,mobile,latitude,longitude,capacity,length,pin
1,Nandi Weigh Bridge,"T-4 (C, near Police Station, Peenya 1st Stage, Peenya, Bengaluru, Karnataka 560058",9880043292,13.0381,77.521,,,560058
2,J S weigh bridge,"52, Azeez Sait Industrial Estate, Nayanda Halli, Bengaluru, Karnataka 560039",,12.949,77.5243,,,560039
3,Kings weight bridge,"66HR+R8W, Anchemane, Dobbaspet, Karnataka 562111",,13.2299,77.2405,,,562111
4,D R Weighbridge,"6754+VW3, Dobbaspet, Karnataka 562111",,13.2098,77.2572,,,562111
5,Sai WeighBridgh,"94H2+4Q7, Service Rd, Antharasanahalli, Tumakuru, Karnataka 572106",9380139587,13.3779,77.1019,,,572106
6,Vignesh Weigh Bridge Service,"B, Pol Hospital, 144/1, opposite Mysore Road, Kaniyara Colony, Ramachandra Agrahara, Chamrajpet, Bengaluru, Karnataka 560018",,12.9605,77.5573,,,560018
7,Shri Sairam Weighers,"2GGV+4F4, Yeshwanthpur Industrial Suburb, Mahalakshmi Layout, Bengaluru, Karnataka 560022",,13.0254,77.5436,,,560022
8,Sri Thirumala Weigh Bridge,"No.34 , 1st Phase, near Sri Siddalingeshwara Road lines, Industrial Area, Antharasanahalli, Tumakuru, Karnataka 572106",7204767981,13.3764,77.1004,,,572106
9,Karnataka Weighbridge,"578, Magadi Main Rd, Muthuraya Swamy Extension, Sunkadakatte, Bengaluru, Karnataka 560091",8023288040,12.9885,77.5106,,,560091
10,ASB WEIGHBRIGE,"PVJR+556, Sira Rural, Karnataka 572137",,13.7304,76.8903,,,572137
11,Karnataka Weigh Bridge,"Hiriyur, Karnataka 577598",,13.9357,76.6239,,,577598
12,Karnataka Weigh Bridge,"QV2P+FXM, Jyoti Nagara, Sira, Karnataka 572137",9591656321,13.7511,76.8874,,,572137
13,S B WEIGH BRIDGE,"APMC Market, Adarsha Nagar, Chitradurga, Karnataka 577502",,14.2358,76.3917,,,577502
14,Nandi Weigh Bridge,"49/A Near Vijaya Rooling mill Bus stop Phase, 3rd Stage, Maruthi Nagar, Peenya, Bengaluru, Karnataka 560058",9902293339,13.0259,77.515,,,560058
15,M V WEIGH BRIDGE,"Sulappa Circle, Ring Rd, Tumakuru, Karnataka 572105",7996393835,13.3186,77.0896,,,572105
16,Shree Mahima Weigh Bridge,"39RG+HRJ, Shanthinagar, Karnataka 562123",,13.0914,77.377,,,562123
17,ABS Weighbridge,"4th phase, Avverahalli industrial area Sompura hobli, Dobaspet Nelamangala, Bengaluru, Dobbaspet, Karnataka 562111",7204302348,13.2052,77.2521,,,562111
18,Weighbridge / truck scale,"93JP+G85, Bengaluru - Mumbai Hwy, Hebbalu, Karnataka 577556",,14.3812,76.0858,,,577556
19,SS.weigh bridge,"560058, Peenya Industrial Area Phase IV, Peenya, Bengaluru, Karnataka 560058",,13.0158,77.5015,,,560058
20,C.R Weighing Bridge,"2JV5+775, Unnamed Road, Jogappa Layout, Nagavara, Bengaluru, Karnataka 560032",,13.0431,77.6082,,,560032
21,MEASUREDONE Weighbridges,"Kunigal-Tumkur Rd, behind SSIT College, Saraswathipuram, Tumakuru, Karnataka 572105",9916319391,13.3215,77.0936,,,572105
22,Sri Basaweshwara WEIGH BRIDGE,"956W+GXX, Unnamed Road, Karnataka 577519",,14.3613,76.1974,,,577519
23,A g weigh bridge,"Chitradurga, Karnataka 577501",,14.2042,76.4282,,,577501
24,Ravi Electronic Weighbridge,"R. Hanumanthappa And Sons Compound, Road, Avaragere, Davanagere, Karnataka 577003",7975699883,14.4529,75.9394,,,577003
25,B K S WEIGHBRIDGE,"956X+64G, Kasavanahalli, Karnataka 577519",,14.3605,76.1978,,,577519
26,STATWEIGH INDIA (P) LTD,"195 C, Road # 1, VASANTHANARASAPURA INDUSTRIAL AREA G.Nagenahalli KORA TALUK, Karnataka 572128",9845036305,13.4849,77.0305,,,572128
27,MR Traders MR Weight Bridge,"69HR+PGP, PB Rd, Jain Colony, Nehru Nagar, Chitradurga, Karnataka 577501",,14.2293,76.3913,,,577501
28,Sri Rama weigh bridge,"6CFJ+64Q, Madakaripura, Karnataka 577502",,14.223,76.4303,,,577502
29,Sri Byraveshwara Weighers,"KIADB No.14A, 1st Phase, opp. to India Food Park, Industrial Area, Vasanthanarasapura, Batsandra, Karnataka 572138",,13.4929,77.0427,,,572138
30,Vinayaka Weighbridge,"94CC+M9G, Halekal, Karnataka 577553",,14.37257,76.1199,,,577553
31,SOHAN INDUSTRIES,"F2XH+H37, Near, Yeladadalu, Karnataka",,13.4989,77.0276,,,
32,JAI HIND ELECTRONIC WEIGH BRIDGE,"FWQG+C59, Mustafa Nagar, Davanagere, Karnataka 577002",,14.4885,75.9254,,,577002
33,Veerabhadreshwara weighbridge,"C7RW+QW, Bidarekere, Karnataka 577553",,14.4419,76.2972,,,577553
,Sri Lakshmi Ranganatha Weighbridge,"Holalkere Road, Opposite to Bharath petroleum Sasaluhalla, Holalkere Rural, Karnataka 577518",,14.2068,76.1076,,,577518
